2, 1 2 2092 0.354122;
1, 1 3 10 0.35466;
3, 1 2 10 0.497881;
4, 1 1 6023 0.473517;
5, 1 1 131 0.511298;
6, 1 2 1408 0.494941;
7, 1 2 1408 0.481588;
8, 1 3 2210 0.506269;
9, 1 3 109 0.439645;
10, 1 4 1092 0.444368;
11, 1 4 84 0.355456;
12, 1 5 1235 0.306183;
13, 1 5 73 0.433088;
14, 1 4 1668 0.465461;
15, 1 4 1668 0.539002;
16, 1 3 770 0.534212;
17, 1 3 38 0.513157;
18, 1 2 722 0.543132;
19, 1 2 722 0.666385;
20, 1 1 1018 0.557872;
21, 1 1 1018 0.521108;
22, 1 2 1011 0.664275;
23, 1 2 1011 0.676528;
24, 1 3 637 0.702988;
25, 1 3 132 0.619457;
26, 1 4 581 0.638684;
27, 1 4 17 0.491878;
28, 1 5 935 0.421692;
29, 1 5 935 0.527762;
30, 1 4 962 0.553617;
31, 1 4 92 0.595672;
32, 1 3 515 0.618616;
33, 1 3 30 0.677278;
34, 1 2 428 0.839381;
35, 1 2 428 0.930923;
36, 1 1 614 0.869891;
37, 1 1 102 0.026619;
38, 2 1 754 0.001404;
39, 1 1 754 0.491796;
40, 1 2 1307 0.542508;
41, 1 2 101 0.297517;
42, 1 1 768 0.148782;
43, 1 1 83 0.064639;
44, 2 1 83 0.0001;
45, 1 1 83 0.370776;
46, 1 2 476 0.699385;
47, 1 2 10 0.898269;
48, 1 3 278 0.913694;
49, 1 3 6 0.920493;
50, 1 4 266 1.;
51, 1 4 22 0.610131;
52, 1 5 270 0.609066;
53, 1 5 70 0.276296;
54, 1 4 1174 0.212544;
55, 1 4 19 0.314573;
56, 1 3 351 0.332074;
57, 1 3 35 0.254206;
58, 1 2 637 0.246333;
59, 1 2 10 0.227571;
60, 1 3 345 0.257523;
61, 1 3 135 0.24026;
62, 1 4 88 0.240161;
63, 1 4 73 0.139679;
64, 1 5 493 0.154358;
65, 1 5 87 0.00143;
66, 1 3 553 0.026393;
67, 1 3 10 0.428644;
68, 2 3 917 0.445529;
69, 2 3 2 0.607545;
70, 2 2 891 0.545991;
71, 2 2 45 0.657515;
72, 2 1 617 0.645123;
73, 2 1 617 0.733945;
74, 2 2 439 0.729676;
75, 2 2 97 0.692577;
76, 2 3 216 0.796195;
77, 2 3 216 0.902575;
78, 2 4 90 1.;
79, 2 4 15 0.672073;
80, 2 5 125 0.592447;
81, 2 5 58 0.276475;
82, 1 4 369 0.367625;
83, 1 4 150 0.201072;
84, 1 3 509 0.217323;
85, 1 4 509 0.183053;
86, 1 3 162 0.19038;
87, 1 3 39 0.255404;
88, 1 2 185 0.280131;
89, 1 2 185 0.356384;
90, 1 1 282 0.348994;
91, 1 1 73 0.413232;
92, 1 2 335 0.393235;
93, 1 2 122 0.394715;
94, 1 3 27 0.415755;
95, 1 3 75 0.440948;
96, 1 4 67 0.590487;
97, 1 4 271 0.590487;
