115, 2 4 900 0.000821;
1, 1 4 10 0.000821;
2, 2 4 10 0.001509;
3, 1 4 10 0.259301;
4, 1 3 230 0.3069;
5, 1 3 159 0.337836;
6, 2 3 159 0.53791;
7, 2 3 159 0.462315;
8, 3 3 92 0.479299;
9, 3 3 17 0.469486;
10, 4 3 166 0.50835;
11, 4 3 39 0.443708;
12, 5 3 167 0.561847;
13, 5 3 186 0.558671;
14, 7 2 186 0.765637;
15, 7 2 25 0.591547;
16, 8 2 173 0.554032;
17, 8 2 173 0.611153;
18, 9 2 162 0.772669;
19, 9 2 162 0.645466;
20, 10 2 86 0.581845;
21, 10 2 92 0.59027;
22, 10 3 92 0.561844;
23, 10 3 126 0.524462;
24, 11 3 126 0.706646;
25, 11 3 21 0.685715;
26, 12 3 9 0.685624;
27, 12 3 28 0.642409;
28, 12 4 72 0.650237;
29, 12 4 61 0.636419;
30, 13 4 61 0.613284;
31, 13 4 61 0.566683;
32, 14 4 116 0.595178;
33, 14 4 153 0.597316;
34, 14 3 153 0.572925;
35, 14 3 16 0.484967;
36, 15 2 218 0.711233;
37, 15 2 16 0.817124;
38, 16 2 13 0.814967;
39, 16 2 145 0.608773;
40, 17 1 151 0.472581;
41, 17 1 28 0.433813;
42, 18 2 132 0.420709;
43, 18 2 127 0.457028;
44, 19 2 127 0.509047;
45, 19 2 50 0.458855;
46, 19 3 138 0.447437;
47, 19 3 12 0.498434;
48, 20 4 135 0.54473;
49, 20 4 19 0.43242;
50, 21 4 144 0.418525;
51, 21 4 101 0.440592;
52, 22 4 101 0.467846;
53, 22 4 110 0.656747;
54, 23 4 96 0.850144;
55, 23 4 44 0.612366;
56, 23 3 218 0.510159;
57, 23 3 18 0.58204;
58, 24 3 6 0.581373;
59, 24 3 6 0.616441;
60, 24 2 136 0.569673;
61, 24 2 136 0.5614;
62, 25 2 244 0.51994;
63, 25 2 42 0.529785;
64, 26 2 111 0.564988;
65, 26 2 50 0.546072;
66, 26 3 177 0.550496;
67, 26 3 90 0.676806;
68, 27 4 102 0.663058;
69, 27 4 61 0.54329;
70, 28 4 177 0.570039;
71, 28 4 19 0.726033;
72, 29 4 118 0.658975;
73, 29 4 23 0.743785;
74, 30 4 192 0.803162;
75, 30 4 113 0.696299;
76, 30 3 145 0.470928;
77, 30 3 29 0.076655;
78, 1 3 380 0.076655;
