31092, 0.04986 0.500235 0.002454 0;
0, 0.550029 0.685753 0.015425 0;
10, 0.550029 0.685753 0.015425 0;
20, 0.55334 0.534999 0.028838 1;
30, 0.557098 0.5883 0.073649 1;
40, 0.557098 0.5883 0.073649 1;
50, 0.543609 0.668648 0.047327 0;
60, 0.541383 0.665634 0.064099 0;
70, 0.541105 0.663267 0.056036 0;
80, 0.541105 0.663267 0.056036 0;
90, 0.541105 0.663267 0.056036 0;
100, 0.539752 0.656249 0.064899 0;
110, 0.539359 0.653631 0.066729 0;
120, 0.53917 0.650343 0.077198 0;
130, 0.53917 0.650343 0.077198 0;
140, 0.53917 0.650343 0.077198 0;
150, 0.538436 0.643244 0.072264 0;
160, 0.538517 0.635555 0.074301 0;
211, 0.573093 0.771002 0.011977 0;
221, 0.589511 0.777165 0.017427 1;
231, 0.034602 0.50734 0.600575 0;
241, 0.580163 0.558008 0.014251 1;
251, 0.034379 0.506693 0.634393 0;
261, 0.558639 0.617696 0.170305 0;
271, 0.555272 0.606624 0.046841 0;
281, 0.555871 0.605027 0.046782 0;
291, 0.034475 0.506612 0.646915 0;
301, 0.587751 0.56343 0.028561 1;
311, 0.588927 0.564021 0.028977 1;
321, 0.588927 0.564021 0.028977 1;
331, 0.590819 0.567874 0.030381 1;
341, 0.591163 0.569381 0.028209 1;
351, 0.591163 0.569381 0.028209 1;
361, 0.558401 0.614373 0.157162 0;
407, 0.587395 0.629869 0.113964 0;
465, 0.566099 0.77233 0.172664 0;
475, 0.566099 0.77233 0.172664 0;
485, 0.566473 0.608682 0.064644 0;
495, 0.03416 0.507893 0.652487 0;
505, 0.03416 0.507893 0.652487 0;
578, 0.565141 0.664601 0.02807 0;
588, 0.565163 0.651668 0.021178 0;
598, 0.565142 0.653489 0.029755 0;
608, 0.558922 0.602781 0.045058 0;
618, 0.558922 0.602781 0.045058 0;
628, 0.55818 0.603843 0.036783 0;
638, 0.55795 0.606539 0.035779 0;
648, 0.557805 0.607087 0.036182 0;
658, 0.557805 0.607087 0.036182 0;
668, 0.55738 0.604009 0.03436 0;
678, 0.55759 0.602365 0.037393 0;
688, 0.55759 0.602365 0.037393 0;
