21251, 0.049507 0.500597 0.0061 0;
0, 0.957563 0.197253 0.002454 2;
10, 0.038956 0.510963 1. 0;
20, 0.03617 0.51392 1. 0;
30, 0.03617 0.51392 1. 0;
40, 0.033909 0.517007 1. 0;
50, 0.033458 0.517603 1. 0;
60, 0.033458 0.517603 1. 0;
70, 0.03316 0.517787 1. 0;
80, 0.033249 0.517076 1. 0;
90, 0.033249 0.517076 1. 0;
126, 0.033187 0.517333 1. 0;
136, 0.033187 0.517333 1. 0;
146, 0.033301 0.517162 1. 0;
156, 0.033436 0.517472 1. 0;
166, 0.033436 0.517472 1. 0;
209, 0.033518 0.518149 1. 0;
246, 0.033703 0.518225 1. 0;
293, 0.033853 0.517964 1. 0;
349, 0.033978 0.519004 1. 0;
359, 0.033978 0.519004 1. 0;
369, 0.034048 0.519471 1. 0;
379, 0.034048 0.519471 1. 0;
426, 0.03386 0.520018 1. 0;
436, 0.03386 0.520018 1. 0;
446, 0.03386 0.520018 1. 0;
456, 0.03392 0.519741 1. 0;
509, 0.034119 0.52023 1. 0;
547, 0.034043 0.519782 1. 0;
598, 0.034043 0.520405 1. 0;
608, 0.034043 0.520405 1. 0;
618, 0.034079 0.520201 1. 0;
628, 0.034079 0.520201 1. 0;
676, 0.034155 0.519536 1. 0;
730, 0.034621 0.518615 1. 0;
776, 0.039455 0.521822 1. 0;
844, 0.053231 0.517111 1. 0;
893, 0.064174 0.512435 1. 0;
959, 0.066365 0.512364 1. 0;
1028, 0.065834 0.514596 1. 0;
1038, 0.065834 0.514596 1. 0;
1048, 0.065834 0.514596 1. 0;
1058, 0.065881 0.515632 1. 0;
1110, 0.066993 0.512167 1. 0;
1120, 0.066993 0.512167 1. 0;
1130, 0.066993 0.512167 1. 0;
1140, 0.067258 0.50685 1. 1;
1193, 0.071957 0.509224 1. 1;
1232, 0.078898 0.512124 1. 1;
1276, 0.099095 0.518683 0.920357 0;
1286, 0.099095 0.518683 0.920357 0;
1296, 0.10479 0.517399 0.971306 0;
1306, 0.106684 0.516238 0.98482 1;
1316, 0.107741 0.515523 1. 0;
1326, 0.108494 0.514461 1. 0;
1336, 0.109128 0.514048 1. 0;
1346, 0.109659 0.51353 1. 0;
1356, 0.109659 0.51353 1. 0;
1366, 0.110097 0.512763 1. 0;
1376, 0.11027 0.512818 1. 0;
1386, 0.110404 0.513094 1. 0;
1396, 0.110448 0.513187 1. 0;
1406, 0.110448 0.513187 1. 0;
1416, 0.11041 0.513822 1. 0;
1426, 0.110434 0.514059 1. 0;
1436, 0.110434 0.514059 1. 0;
1446, 0.110434 0.514059 1. 0;
1456, 0.110332 0.514271 1. 0;
1466, 0.110231 0.513972 1. 0;
1476, 0.110231 0.513972 1. 0;
1486, 0.110252 0.513772 1. 0;
1496, 0.110233 0.513546 1. 0;
1506, 0.110273 0.513772 1. 0;
1516, 0.110303 0.514048 1. 0;
1526, 0.110342 0.514204 1. 0;
1536, 0.110464 0.514101 1. 0;
1546, 0.110595 0.514272 1. 0;
1556, 0.110723 0.514515 1. 0;
1566, 0.110874 0.514777 1. 0;
1576, 0.110874 0.514667 1. 0;
1586, 0.110874 0.515044 1. 0;
1596, 0.110874 0.515044 1. 0;
1606, 0.110776 0.515496 1. 0;
1616, 0.110758 0.515347 1. 0;
1626, 0.110758 0.515347 1. 0;
1636, 0.110563 0.515579 1. 0;
1646, 0.110527 0.515761 1. 0;
1693, 0.110367 0.515809 1. 0;
1703, 0.110367 0.515809 1. 0;
1713, 0.11036 0.515644 1. 0;
1723, 0.110361 0.515826 1. 0;
1733, 0.110379 0.515737 1. 0;
1743, 0.110439 0.515912 1. 0;
1753, 0.110453 0.516393 1. 0;
1763, 0.110414 0.516736 1. 0;
1773, 0.110414 0.516736 1. 0;
1811, 0.11083 0.516167 1. 0;
1821, 0.11083 0.516167 1. 0;
1831, 0.11083 0.516167 1. 0;
1841, 0.112257 0.515676 1. 0;
1877, 0.115808 0.515915 1. 0;
1916, 0.128477 0.521693 1. 0;
1961, 0.141905 0.530702 1. 0;
